ID,Resume_str,Resume_html,Category,word_count,clean_text
11324,"Summary: Strong track record of collaborating with cross-functional teams to achieve goals. Adept at managing multiple priorities in fast-paced environments. Known for attention to detail and consistent delivery of high-quality work. 9 years of experience in the Automobile domain. Core skills: maintenance scheduling, engine repair, vehicle diagnostics, illustrator, adobe xd. Education: Bachelor's degree in Engineering. Additional experience includes team collaboration, reporting, and process improvement relevant to automobile roles.","<div class='resume'><p>Summary: Strong track record of collaborating with cross-functional teams to achieve goals. Adept at managing multiple priorities in fast-paced environments. Known for attention to detail and consistent delivery of high-quality work. 9 years of experience in the Automobile domain. Core skills: maintenance scheduling, engine repair, vehicle diagnostics, illustrator, adobe xd. Education: Bachelor's degree in Engineering. Additional experience includes team collaboration, reporting, and process improvement relevant to automobile roles.</p></div>",AUTOMOBILE,68,summary strong track record collaborating cross functional teams achieve goals adept managing multiple priorities fast paced environments known attention detail consistent delivery high quality work years experience automobile domain core skills maintenance scheduling engine repair vehicle diagnostics illustrator adobe xd education bachelor degree engineering additional experience includes team collaboration reporting process improvement relevant automobile roles
12186,"Summary: Known for attention to detail and consistent delivery of high-quality work. Skilled at building strong relationships with stakeholders and clients. Experienced in leading projects from initiation through successful completion. 6 years of experience in the Banking domain. Core skills: kyc, loan processing, risk assessment, customer onboarding, lesson planning, classroom management. Education: Bachelor's degree in Business Administration. Additional experience includes team collaboration, reporting, and process improvement relevant to banking roles.","<div class='resume'><p>Summary: Known for attention to detail and consistent delivery of high-quality work. Skilled at building strong relationships with stakeholders and clients. Experienced in leading projects from initiation through successful completion. 6 years of experience in the Banking domain. Core skills: kyc, loan processing, risk assessment, customer onboarding, lesson planning, classroom management. Education: Bachelor's degree in Business Administration. Additional experience includes team collaboration, reporting, and process improvement relevant to banking roles.</p></div>",BANKING,70,summary known attention detail consistent delivery high quality work skilled building strong relationships stakeholders clients experienced leading projects initiation successful completion years experience banking domain core skills kyc loan processing risk assessment customer onboarding lesson planning classroom management education bachelor degree business administration additional experience includes team collaboration reporting process improvement relevant banking roles
11507,"Summary: Known for attention to detail and consistent delivery of high-quality work. Skilled at building strong relationships with stakeholders and clients. Strong track record of collaborating with cross-functional teams to achieve goals. 11 years of experience in the Finance domain. Core skills: excel, risk analysis, financial modeling, forecasting. Education: Associate degree in Business Administration. Additional experience includes team collaboration, reporting, and process improvement relevant to finance roles.","<div class='resume'><p>Summary: Known for attention to detail and consistent delivery of high-quality work. Skilled at building strong relationships with stakeholders and clients. Strong track record of collaborating with cross-functional teams to achieve goals. 11 years of experience in the Finance domain. Core skills: excel, risk analysis, financial modeling, forecasting. Education: Associate degree in Business Administration. Additional experience includes team collaboration, reporting, and process improvement relevant to finance roles.</p></div>",FINANCE,67,summary known attention detail consistent delivery high quality work skilled building strong relationships stakeholders clients strong track record collaborating cross functional teams achieve goals years experience finance domain core skills excel risk analysis financial modeling forecasting education associate degree business administration additional experience includes team collaboration reporting process improvement relevant finance roles
11022,"Summary: Committed to continuous learning and professional development. Adept at managing multiple priorities in fast-paced environments. Known for attention to detail and consistent delivery of high-quality work. 8 years of experience in the Sales domain. Core skills: negotiation, cold calling, lead conversion. Education: Master's degree in Science. Additional experience includes team collaboration, reporting, and process improvement relevant to sales roles.","<div class='resume'><p>Summary: Committed to continuous learning and professional development. Adept at managing multiple priorities in fast-paced environments. Known for attention to detail and consistent delivery of high-quality work. 8 years of experience in the Sales domain. Core skills: negotiation, cold calling, lead conversion. Education: Master's degree in Science. Additional experience includes team collaboration, reporting, and process improvement relevant to sales roles.</p></div>",SALES,60,summary committed continuous learning professional development adept managing multiple priorities fast paced environments known attention detail consistent delivery high quality work years experience sales domain core skills negotiation cold calling lead conversion education master degree science additional experience includes team collaboration reporting process improvement relevant sales roles
10901,"Summary: Recognized for excellent communication and problem-solving abilities. Known for attention to detail and consistent delivery of high-quality work. Adept at managing multiple priorities in fast-paced environments. 1 years of experience in the Bpo domain. Core skills: complaint resolution, crm software, customer service, typing speed. Education: Diploma in Business Administration. Additional experience includes team collaboration, reporting, and process improvement relevant to bpo roles.","<div class='resume'><p>Summary: Recognized for excellent communication and problem-solving abilities. Known for attention to detail and consistent delivery of high-quality work. Adept at managing multiple priorities in fast-paced environments. 1 years of experience in the Bpo domain. Core skills: complaint resolution, crm software, customer service, typing speed. Education: Diploma in Business Administration. Additional experience includes team collaboration, reporting, and process improvement relevant to bpo roles.</p></div>",BPO,63,summary recognized excellent communication problem solving abilities known attention detail consistent delivery high quality work adept managing multiple priorities fast paced environments years experience bpo domain core skills complaint resolution crm software customer service typing speed education diploma business administration additional experience includes team collaboration reporting process improvement relevant bpo roles
10188,"Summary: Results-driven professional with proven experience delivering measurable outcomes. Known for attention to detail and consistent delivery of high-quality work. Skilled at building strong relationships with stakeholders and clients. 9 years of experience in the Designer domain. Core skills: adobe xd, ui design, illustrator, figma, typography, photoshop, branding, ux research. Education: Bachelor's degree in Arts. Additional experience includes team collaboration, reporting, and process improvement relevant to designer roles.","<div class='resume'><p>Summary: Results-driven professional with proven experience delivering measurable outcomes. Known for attention to detail and consistent delivery of high-quality work. Skilled at building strong relationships with stakeholders and clients. 9 years of experience in the Designer domain. Core skills: adobe xd, ui design, illustrator, figma, typography, photoshop, branding, ux research. Education: Bachelor's degree in Arts. Additional experience includes team collaboration, reporting, and process improvement relevant to designer roles.</p></div>",DESIGNER,68,summary results driven professional proven experience delivering measurable outcomes known attention detail consistent delivery high quality work skilled building strong relationships stakeholders clients years experience designer domain core skills adobe xd ui design illustrator figma typography photoshop branding ux research education bachelor degree arts additional experience includes team collaboration reporting process improvement relevant designer roles
12374,"Summary: Known for attention to detail and consistent delivery of high-quality work. Experienced in leading projects from initiation through successful completion. Strong track record of collaborating with cross-functional teams to achieve goals. 11 years of experience in the Aviation domain. Core skills: flight operations, aircraft maintenance, air traffic coordination, regulatory compliance, presentation skills, stakeholder management. Education: Associate degree in Management. Additional experience includes team collaboration, reporting, and process improvement relevant to aviation roles.","<div class='resume'><p>Summary: Known for attention to detail and consistent delivery of high-quality work. Experienced in leading projects from initiation through successful completion. Strong track record of collaborating with cross-functional teams to achieve goals. 11 years of experience in the Aviation domain. Core skills: flight operations, aircraft maintenance, air traffic coordination, regulatory compliance, presentation skills, stakeholder management. Education: Associate degree in Management. Additional experience includes team collaboration, reporting, and process improvement relevant to aviation roles.</p></div>",AVIATION,73,summary known attention detail consistent delivery high quality work experienced leading projects initiation successful completion strong track record collaborating cross functional teams achieve goals years experience aviation domain core skills flight operations aircraft maintenance air traffic coordination regulatory compliance presentation skills stakeholder management education associate degree management additional experience includes team collaboration reporting process improvement relevant aviation roles
10685,"Summary: Experienced in leading projects from initiation through successful completion. Skilled at building strong relationships with stakeholders and clients. Recognized for excellent communication and problem-solving abilities. 11 years of experience in the Healthcare domain. Core skills: hipaa compliance, patient care, vital signs monitoring. Education: Associate degree in Management. Additional experience includes team collaboration, reporting, and process improvement relevant to healthcare roles.","<div class='resume'><p>Summary: Experienced in leading projects from initiation through successful completion. Skilled at building strong relationships with stakeholders and clients. Recognized for excellent communication and problem-solving abilities. 11 years of experience in the Healthcare domain. Core skills: hipaa compliance, patient care, vital signs monitoring. Education: Associate degree in Management. Additional experience includes team collaboration, reporting, and process improvement relevant to healthcare roles.</p></div>",HEALTHCARE,61,summary experienced leading projects initiation successful completion skilled building strong relationships stakeholders clients recognized excellent communication problem solving abilities years experience healthcare domain core skills hipaa compliance patient care vital signs monitoring education associate degree management additional experience includes team collaboration reporting process improvement relevant healthcare roles
12176,"Summary: Recognized for excellent communication and problem-solving abilities. Skilled at building strong relationships with stakeholders and clients. Known for attention to detail and consistent delivery of high-quality work. 3 years of experience in the Banking domain. Core skills: financial products, kyc, customer onboarding, loan processing, compliance, risk assessment. Education: Associate degree in Arts. Additional experience includes team collaboration, reporting, and process improvement relevant to banking roles.","<div class='resume'><p>Summary: Recognized for excellent communication and problem-solving abilities. Skilled at building strong relationships with stakeholders and clients. Known for attention to detail and consistent delivery of high-quality work. 3 years of experience in the Banking domain. Core skills: financial products, kyc, customer onboarding, loan processing, compliance, risk assessment. Education: Associate degree in Arts. Additional experience includes team collaboration, reporting, and process improvement relevant to banking roles.</p></div>",BANKING,66,summary recognized excellent communication problem solving abilities skilled building strong relationships stakeholders clients known attention detail consistent delivery high quality work years experience banking domain core skills financial products kyc customer onboarding loan processing compliance risk assessment education associate degree arts additional experience includes team collaboration reporting process improvement relevant banking roles
11405,"Summary: Known for attention to detail and consistent delivery of high-quality work. Adept at managing multiple priorities in fast-paced environments. Results-driven professional with proven experience delivering measurable outcomes. 2 years of experience in the Chef domain. Core skills: kitchen management, inventory management, food safety, culinary techniques. Education: Diploma in Computer Science. Additional experience includes team collaboration, reporting, and process improvement relevant to chef roles.","<div class='resume'><p>Summary: Known for attention to detail and consistent delivery of high-quality work. Adept at managing multiple priorities in fast-paced environments. Results-driven professional with proven experience delivering measurable outcomes. 2 years of experience in the Chef domain. Core skills: kitchen management, inventory management, food safety, culinary techniques. Education: Diploma in Computer Science. Additional experience includes team collaboration, reporting, and process improvement relevant to chef roles.</p></div>",CHEF,64,summary known attention detail consistent delivery high quality work adept managing multiple priorities fast paced environments results driven professional proven experience delivering measurable outcomes years experience chef domain core skills kitchen management inventory management food safety culinary techniques education diploma computer science additional experience includes team collaboration reporting process improvement relevant chef roles
12067,"Summary: Recognized for excellent communication and problem-solving abilities. Committed to continuous learning and professional development. Known for attention to detail and consistent delivery of high-quality work. 2 years of experience in the Public Relations domain. Core skills: media relations, event planning, press releases, presentation skills, business analysis. Education: Associate degree in Science. Additional experience includes team collaboration, reporting, and process improvement relevant to public relations roles.","<div class='resume'><p>Summary: Recognized for excellent communication and problem-solving abilities. Committed to continuous learning and professional development. Known for attention to detail and consistent delivery of high-quality work. 2 years of experience in the Public Relations domain. Core skills: media relations, event planning, press releases, presentation skills, business analysis. Education: Associate degree in Science. Additional experience includes team collaboration, reporting, and process improvement relevant to public relations roles.</p></div>",PUBLIC-RELATIONS,66,summary recognized excellent communication problem solving abilities committed continuous learning professional development known attention detail consistent delivery high quality work years experience public relations domain core skills media relations event planning press releases presentation skills business analysis education associate degree science additional experience includes team collaboration reporting process improvement relevant public relations roles
12245,"Summary: Recognized for excellent communication and problem-solving abilities. Results-driven professional with proven experience delivering measurable outcomes. Skilled at building strong relationships with stakeholders and clients. 11 years of experience in the Arts domain. Core skills: illustration, exhibition curation, portfolio development, sculpture, creative direction. Education: Diploma in Management. Additional experience includes team collaboration, reporting, and process improvement relevant to arts roles.","<div class='resume'><p>Summary: Recognized for excellent communication and problem-solving abilities. Results-driven professional with proven experience delivering measurable outcomes. Skilled at building strong relationships with stakeholders and clients. 11 years of experience in the Arts domain. Core skills: illustration, exhibition curation, portfolio development, sculpture, creative direction. Education: Diploma in Management. Additional experience includes team collaboration, reporting, and process improvement relevant to arts roles.</p></div>",ARTS,60,summary recognized excellent communication problem solving abilities results driven professional proven experience delivering measurable outcomes skilled building strong relationships stakeholders clients years experience arts domain core skills illustration exhibition curation portfolio development sculpture creative direction education diploma management additional experience includes team collaboration reporting process improvement relevant arts roles
11201,"Summary: Strong track record of collaborating with cross-functional teams to achieve goals. Results-driven professional with proven experience delivering measurable outcomes. Skilled at building strong relationships with stakeholders and clients. 2 years of experience in the Digital Media domain. Core skills: google analytics, seo, copywriting. Education: Associate degree in Engineering. Additional experience includes team collaboration, reporting, and process improvement relevant to digital media roles.","<div class='resume'><p>Summary: Strong track record of collaborating with cross-functional teams to achieve goals. Results-driven professional with proven experience delivering measurable outcomes. Skilled at building strong relationships with stakeholders and clients. 2 years of experience in the Digital Media domain. Core skills: google analytics, seo, copywriting. Education: Associate degree in Engineering. Additional experience includes team collaboration, reporting, and process improvement relevant to digital media roles.</p></div>",DIGITAL-MEDIA,63,summary strong track record collaborating cross functional teams achieve goals results driven professional proven experience delivering measurable outcomes skilled building strong relationships stakeholders clients years experience digital media domain core skills google analytics seo copywriting education associate degree engineering additional experience includes team collaboration reporting process improvement relevant digital media roles
11672,"Summary: Results-driven professional with proven experience delivering measurable outcomes. Adept at managing multiple priorities in fast-paced environments. Strong track record of collaborating with cross-functional teams to achieve goals. 1 years of experience in the Apparel domain. Core skills: pattern making, merchandising, textile knowledge, trend forecasting, content strategy, seo. Education: Diploma in Commerce. Additional experience includes team collaboration, reporting, and process improvement relevant to apparel roles.","<div class='resume'><p>Summary: Results-driven professional with proven experience delivering measurable outcomes. Adept at managing multiple priorities in fast-paced environments. Strong track record of collaborating with cross-functional teams to achieve goals. 1 years of experience in the Apparel domain. Core skills: pattern making, merchandising, textile knowledge, trend forecasting, content strategy, seo. Education: Diploma in Commerce. Additional experience includes team collaboration, reporting, and process improvement relevant to apparel roles.</p></div>",APPAREL,65,summary results driven professional proven experience delivering measurable outcomes adept managing multiple priorities fast paced environments strong track record collaborating cross functional teams achieve goals years experience apparel domain core skills pattern making merchandising textile knowledge trend forecasting content strategy seo education diploma commerce additional experience includes team collaboration reporting process improvement relevant apparel roles
11896,"Summary: Known for attention to detail and consistent delivery of high-quality work. Strong track record of collaborating with cross-functional teams to achieve goals. Results-driven professional with proven experience delivering measurable outcomes. 3 years of experience in the Accountant domain. Core skills: accounts reconciliation, bookkeeping, financial statements, tax preparation, gaap, quickbooks. Education: Associate degree in Management. Additional experience includes team collaboration, reporting, and process improvement relevant to accountant roles.","<div class='resume'><p>Summary: Known for attention to detail and consistent delivery of high-quality work. Strong track record of collaborating with cross-functional teams to achieve goals. Results-driven professional with proven experience delivering measurable outcomes. 3 years of experience in the Accountant domain. Core skills: accounts reconciliation, bookkeeping, financial statements, tax preparation, gaap, quickbooks. Education: Associate degree in Management. Additional experience includes team collaboration, reporting, and process improvement relevant to accountant roles.</p></div>",ACCOUNTANT,68,summary known attention detail consistent delivery high quality work strong track record collaborating cross functional teams achieve goals results driven professional proven experience delivering measurable outcomes years experience accountant domain core skills accounts reconciliation bookkeeping financial statements tax preparation gaap quickbooks education associate degree management additional experience includes team collaboration reporting process improvement relevant accountant roles
11086,"Summary: Adept at managing multiple priorities in fast-paced environments. Known for attention to detail and consistent delivery of high-quality work. Recognized for excellent communication and problem-solving abilities. 10 years of experience in the Sales domain. Core skills: negotiation, customer relationship management, salesforce, lead conversion, target achievement, networking, linux. Education: Associate degree in Commerce. Additional experience includes team collaboration, reporting, and process improvement relevant to sales roles.","<div class='resume'><p>Summary: Adept at managing multiple priorities in fast-paced environments. Known for attention to detail and consistent delivery of high-quality work. Recognized for excellent communication and problem-solving abilities. 10 years of experience in the Sales domain. Core skills: negotiation, customer relationship management, salesforce, lead conversion, target achievement, networking, linux. Education: Associate degree in Commerce. Additional experience includes team collaboration, reporting, and process improvement relevant to sales roles.</p></div>",SALES,66,summary adept managing multiple priorities fast paced environments known attention detail consistent delivery high quality work recognized excellent communication problem solving abilities years experience sales domain core skills negotiation customer relationship management salesforce lead conversion target achievement networking linux education associate degree commerce additional experience includes team collaboration reporting process improvement relevant sales roles
10704,"Summary: Adept at managing multiple priorities in fast-paced environments. Experienced in leading projects from initiation through successful completion. Recognized for excellent communication and problem-solving abilities. 8 years of experience in the Fitness domain. Core skills: group fitness, exercise programming, nutrition planning, client assessment. Education: Bachelor's degree in Engineering. Additional experience includes team collaboration, reporting, and process improvement relevant to fitness roles.","<div class='resume'><p>Summary: Adept at managing multiple priorities in fast-paced environments. Experienced in leading projects from initiation through successful completion. Recognized for excellent communication and problem-solving abilities. 8 years of experience in the Fitness domain. Core skills: group fitness, exercise programming, nutrition planning, client assessment. Education: Bachelor's degree in Engineering. Additional experience includes team collaboration, reporting, and process improvement relevant to fitness roles.</p></div>",FITNESS,61,summary adept managing multiple priorities fast paced environments experienced leading projects initiation successful completion recognized excellent communication problem solving abilities years experience fitness domain core skills group fitness exercise programming nutrition planning client assessment education bachelor degree engineering additional experience includes team collaboration reporting process improvement relevant fitness roles
11100,"Summary: Adept at managing multiple priorities in fast-paced environments. Skilled at building strong relationships with stakeholders and clients. Recognized for excellent communication and problem-solving abilities. 5 years of experience in the Consultant domain. Core skills: strategy development, stakeholder management, presentation skills, business analysis, content strategy, google analytics. Education: Associate degree in Business Administration. Additional experience includes team collaboration, reporting, and process improvement relevant to consultant roles.","<div class='resume'><p>Summary: Adept at managing multiple priorities in fast-paced environments. Skilled at building strong relationships with stakeholders and clients. Recognized for excellent communication and problem-solving abilities. 5 years of experience in the Consultant domain. Core skills: strategy development, stakeholder management, presentation skills, business analysis, content strategy, google analytics. Education: Associate degree in Business Administration. Additional experience includes team collaboration, reporting, and process improvement relevant to consultant roles.</p></div>",CONSULTANT,66,summary adept managing multiple priorities fast paced environments skilled building strong relationships stakeholders clients recognized excellent communication problem solving abilities years experience consultant domain core skills strategy development stakeholder management presentation skills business analysis content strategy google analytics education associate degree business administration additional experience includes team collaboration reporting process improvement relevant consultant roles
10502,"Summary: Adept at managing multiple priorities in fast-paced environments. Skilled at building strong relationships with stakeholders and clients. Known for attention to detail and consistent delivery of high-quality work. 1 years of experience in the Business Development domain. Core skills: crm, lead generation, sales strategy, market research, partnership building, negotiation. Education: Associate degree in Computer Science. Additional experience includes team collaboration, reporting, and process improvement relevant to business development roles.","<div class='resume'><p>Summary: Adept at managing multiple priorities in fast-paced environments. Skilled at building strong relationships with stakeholders and clients. Known for attention to detail and consistent delivery of high-quality work. 1 years of experience in the Business Development domain. Core skills: crm, lead generation, sales strategy, market research, partnership building, negotiation. Education: Associate degree in Computer Science. Additional experience includes team collaboration, reporting, and process improvement relevant to business development roles.</p></div>",BUSINESS-DEVELOPMENT,70,summary adept managing multiple priorities fast paced environments skilled building strong relationships stakeholders clients known attention detail consistent delivery high quality work years experience business development domain core skills crm lead generation sales strategy market research partnership building negotiation education associate degree computer science additional experience includes team collaboration reporting process improvement relevant business development roles
